"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","TAVG","TMAX","TMIN"
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","1973-07-05","2.17","82","90","77"
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","1973-07-06","0.51","81",,"77"
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","1973-07-09","0.00","82","88","77"
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","1973-07-10",,"81","88",
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","1973-07-11",,"79","81","75"
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","1973-07-12",,"78","81","75"
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","1973-07-13",,"80",,
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","1973-07-14",,"81",,"75"
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","1973-07-15","0.00","82","88","77"
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","1973-07-16","0.00","84","90","77"
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","1973-07-17","0.00","84","95","79"
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","1973-07-18","0.75","81","88","75"
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","1973-07-19","1.10","79","82","77"
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","1973-07-20","2.36","79",,"75"
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","1973-07-21","1.10","84",,"75"
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","1973-07-22","0.00","87","91","79"
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","1973-07-23","0.00","87",,
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","1973-07-24","0.00","85",,"81"
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","1973-07-25","0.39","87","93","73"
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","1973-07-26","0.00","83","90",
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","1973-07-27","1.06","82","86","75"
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","1973-07-28","0.00","83","91",
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","1973-07-29",,"82",,
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","1973-07-30","0.47","81",,"68"
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","1973-07-31","0.00","82",,
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","1973-08-01",,"81","90",
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","1973-08-02","0.43","83","88",
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","1973-08-03","0.02","83","90","77"
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","1973-08-04","0.04","86","91","77"
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","1973-08-05","0.00","80",,
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","1973-08-08","0.87","80",,"73"
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","1973-08-09","0.04","83","88","77"
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","1973-08-10","0.12","85",,"77"
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","1973-08-11","0.00","83","90",
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","1973-08-12","0.00","81",,
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","1973-08-16",,"82","90",
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","1973-08-17","0.16","82","86",
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","1973-08-18","2.76","80","86","72"
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","1973-08-19","0.71","83","90","75"
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","1973-08-20","0.00","83","88","77"
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","1973-08-21","1.93","78","82","75"
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","1973-08-22","1.06","81",,"77"
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","1973-08-23","0.00","83","90",
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","1973-08-24","0.00","83","93","77"
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","1973-08-27","1.22","82",,"75"
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","1973-08-28","0.00","83",,"79"
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","1973-08-29",,"85","91",
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","1973-08-30","0.04","80","82","79"
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","1973-08-31","0.59","81","84","77"
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","1973-09-01","0.04","80","91","77"
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","1973-09-03",,"84","90",
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","1973-09-04","0.00","84","90","77"
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","1973-09-05",,"84","90",
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","1973-09-06",,"82",,
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","1973-09-07","0.08","82","90","77"
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","1973-09-08","0.00","85",,
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","1973-09-10","0.00","82","91","77"
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","1973-09-11","0.08","78","86","75"
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","1973-09-12","0.00","83","93",
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","1973-09-13",,"84","91",
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","1973-09-14",,"84","91",
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","1973-09-15","0.04","81","90",
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","1973-09-16","0.12","83",,"75"
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","1973-09-18","0.00","85","90","77"
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","1973-09-19","0.00","84","91","79"
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","1973-09-20","0.00","82",,"77"
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","1973-09-21","0.20","78","82","77"
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","1973-09-22","0.47","82",,
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","1973-09-23","0.16","82","86","75"
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","1973-09-24","0.00","80",,
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","1973-09-25","0.12","82","88","72"
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","1973-09-26","0.20","84","90","77"
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","1973-09-27","0.00","85",,
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","1973-09-28",,"85","91",
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","1973-09-30",,"81","88",
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","1973-10-01",,"79","84",
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","1973-10-02","0.63","78",,"75"
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","1973-10-03","0.51","78","81","73"
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","1973-10-04","0.75","83","88","73"
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","1973-10-05","0.01","82","90",
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","1973-10-07","0.00","84","93","75"
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","1973-10-08",,"83",,
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","1973-10-09",,"85","91",
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","1973-10-10",,"81",,
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","1973-10-11","1.02","75",,"73"
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","1973-10-12","0.71","81","88","73"
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","1973-10-13","0.71","82","90","73"
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","1973-10-14","0.00","81","90",
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","1973-10-15","0.24","81","90","75"
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","1973-10-16","0.00","81","91",
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","1973-10-17","0.08","80","88","75"
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","1973-10-18","0.00","82","90",
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","1973-10-19","0.00","86","91","73"
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","1973-10-20","0.00","82","90","73"
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","1973-10-21","0.04","80","88","73"
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","1973-10-22","0.79","76","86","73"
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","1973-10-23","0.00","78","86",
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","1973-10-24",,"77","86",
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","1973-10-25","1.06","77","84","70"
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","1973-10-26","0.63","79","84","72"
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","1973-10-27","0.39","78",,"72"
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","1973-10-28","0.04","79","90","75"
